Profile: Function timing, sorted by time
Date:    Tue Jan 18 21:11:44 2000


Programmstatistik
-----------------
    2000 Jan 18 21:11 Befehlszeile: minscript -f div.ic   
    Gesamtzeit: 137,180 Millisekunden
    Zeit ausserhalb von Funktionen: 11,211 Millisekunden
    Aufruftiefe: 17
    Gesamtfunktionen: 1652
    Gesamtaufrufe: 119787
    Funktionsabdeckung: 28,8%
    Berechneter Verwaltungsaufwand: 7
    Durchschnittlicher Aufwand: 7

Modulstatistik fuer minipdll.dll
--------------------------------
    Zeit innerhalb des Moduls: 125,969 Millisekunden
    100,0% Prozent im Modul
    1652 Funktionen im Modul
    Aufrufe im Modul: 119787 
    Modulfunktionsabdeckung: 28,8%

        Funkt.        Funkt.+Unterfkt.      Anzahl
        Zeit     %         Zeit       %          Aufrufe  Funktion
------------------------------------------------------------------
       0,006   0,0        0,006   0,0       28 minHandle<class minFunctionDeclarationNode>::minHandle<class minFunctionDeclarationNode>(class minHandle<class minFunctionDeclarationNode> const &) (minpreproc.obj)
       0,006   0,0        0,006   0,0        1 minInterpreterValue::GetDouble(void) (minpreproc.obj)
       0,006   0,0       39,292  31,2        8 std::list<class minToken,class std::allocator<class minToken> >::~list<class minToken,class std::allocator<class minToken> >(void) (mintokenizer.obj)
       0,005   0,0        0,005   0,0       22 minHandle<class minVariableDeclarationNode>::~minHandle<class minVariableDeclarationNode>(void) (minparsernodes.obj)
       0,005   0,0      116,849  92,8        1 minScriptInterpreter::Run(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &,class minInterpreterValue &,unsigned long *) (minip.obj)
       0,005   0,0        0,005   0,0       32 minToken::IsParenthisOpen(void) (mintokenizer.obj)
       0,005   0,0        0,044   0,0       16 minTokenizer::CheckForCharToken(class minToken &) (mintokenizer.obj)
       0,005   0,0        0,003   0,0       21 std::list<class minHandle<class minFunctionDeclarationNode>,class std::allocator<class minHandle<class minFunctionDeclarationNode> > >::const_iterator::operator*(void) (minpreproc.obj)
       0,005   0,0        0,010   0,0        8 std::list<class minVariableSymbolItem,class std::allocator<class minVariableSymbolItem> >::_Buynode(struct std::list<class minVariableSymbolItem,class std::allocator<class minVariableSymbolItem> >::_Node *,struct std::list<class minVariableSymbolItem,class std::allocator<class minVariableSymbolItem> >::_Node *) (minpreproc.obj)
       0,005   0,0        0,006   0,0        8 std::list<class minVariableSymbolItem,class std::allocator<class minVariableSymbolItem> >::end(void) (minparser.obj)
       0,005   0,0        0,005   0,0       15 std::vector<class minClassDeclarationNode const *,class std::allocator<class minClassDeclarationNode const *> >::begin(void) (minpreproc.obj)
       0,005   0,0        0,021   0,0       14 std::vector<class minHandle<class minVariableDeclarationNode>,class std::allocator<class minHandle<class minVariableDeclarationNode> > >::~vector<class minHandle<class minVariableDeclarationNode>,class std::allocator<class minHandle<class minVariableDeclarationNode> > >(void) (minparsernodes.obj)
       0,004   0,0        0,008   0,0       15 minHandle<class minVariableDeclarationNode>::`scalar deleting destructor'(unsigned int) (minparsernodes.obj)
       0,004   0,0        0,432   0,3        7 minInterpreterEnvironment::AddFunction(class minHandle<class minFunctionDeclarationNode>) (minipenv.obj)
       0,004   0,0        0,080   0,1        7 minInterpreterFunctionDeclarationNode::minInterpreterFunctionDeclarationNode(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &,bool,class minInterpreterType,class basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::vector<class minHandle<class minVariableDeclarationNode>,class std::allocator<class minHandle<class minVariableDeclarationNode> > > const &,class minInterpreterNode *) (minparse
       0,004   0,0        0,004   0,0       23 minInterpreterType::GetType(void) (minpreproc.obj)
       0,004   0,0        0,023   0,0        8 minInterpreterType::GetTypeStringHelper(bool,bool) (minipenv.obj)
       0,004   0,0        0,035   0,0       14 minParser::GetTypeFromString(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &) (minparser.obj)
       0,004   0,0        0,004   0,0       95 minToken::IsOperator(void) (mintokenizer.obj)
       0,004   0,0        0,011   0,0        8 minTokenizer::SetText(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &) (mintokenizer.obj)
       0,004   0,0        0,044   0,0        3 std::list<class minHandle<class minFunctionDeclarationNode>,class std::allocator<class minHandle<class minFunctionDeclarationNode> > >::erase(class std::list<class minHandle<class minFunctionDeclarationNode>,class std::allocator<class minHandle<class minFunctionDeclarationNode> > >::iterator,class std::list<class minHandle<class minFunctionDeclarationNode>,class std::allocator<class minHandle<class minFunctionDeclarationNode> > >::iterator) (minpreproc.obj)
       0,004   0,0        0,005   0,0        8 std::list<class minVariableSymbolItem,class std::allocator<class minVariableSymbolItem> >::iterator::operator!=(class std::list<class minVariableSymbolItem,class std::allocator<class minVariableSymbolItem> >::iterator const &) (minparser.obj)
       0,003   0,0        0,003   0,0        1 _$E29 (minpreproc.obj)
       0,003   0,0        0,003   0,0        2 minHandle<class minCallStackItem>::minHandle<class minCallStackItem>(class minCallStackItem *) (minipenv.obj)
       0,003   0,0        0,049   0,0        2 minInterpreterEnvironment::RemoveAllFunctions(void) (minipenv.obj)
       0,003   0,0        0,003   0,0       18 minInterpreterType::IsReference(void) (minpreproc.obj)
       0,003   0,0        0,008   0,0        8 minInterpreterType::operator=(class minInterpreterType const &) (minpreproc.obj)
       0,003   0,0        0,015   0,0        1 minInterpreterValue::~minInterpreterValue(void) (minipenv.obj)
       0,003   0,0        0,042   0,0       48 minParser::ReadToken(void) (minpreproc.obj)
       0,003   0,0       43,718  34,7        7 minPrivateParser::~minPrivateParser(void) (minip.obj)
       0,003   0,0        0,003   0,0       24 minToken::IsIdentifier(void) (mintokenizer.obj)
       0,003   0,0        0,003   0,0        5 std::_Winit::_Winit(void) (msvcp50.dll)
       0,003   0,0        0,003   0,0        5 std::_Winit::~_Winit(void) (msvcp50.dll)
       0,003   0,0        7,106   5,6       16 std::list<char,class std::allocator<char> >::~list<char,class std::allocator<char> >(void) (mintokenizer.obj)
       0,003   0,0        0,013   0,0        8 std::list<class minHandle<class minFunctionDeclarationNode>,class std::allocator<class minHandle<class minFunctionDeclarationNode> > >::_Buynode(struct std::list<class minHandle<class minFunctionDeclarationNode>,class std::allocator<class minHandle<class minFunctionDeclarationNode> > >::_Node *,struct std::list<class minHandle<class minFunctionDeclarationNode>,class std::allocator<class minHandle<class minFunctionDeclarationNode> > >::_Node *) (minpreproc.obj)
       0,003   0,0        0,000   0,0       28 std::list<class minHandle<class minFunctionDeclarationNode>,class std::allocator<class minHandle<class minFunctionDeclarationNode> > >::const_iterator::operator!=(class std::list<class minHandle<class minFunctionDeclarationNode>,class std::allocator<class minHandle<class minFunctionDeclarationNode> > >::const_iterator const &) (minpreproc.obj)
       0,003   0,0        0,011   0,0       10 std::list<class minHandle<class minFunctionDeclarationNode>,class std::allocator<class minHandle<class minFunctionDeclarationNode> > >::end(void) (minpreproc.obj)
       0,003   0,0        0,001   0,0        8 std::list<class minVariableSymbolItem,class std::allocator<class minVariableSymbolItem> >::begin(void) (minpreproc.obj)
       0,003   0,0        0,003   0,0       21 std::vector<class minHandle<class minVariableDeclarationNode>,class std::allocator<class minHandle<class minVariableDeclarationNode> > >::begin(void) (minparsernodes.obj)
       0,003   0,0      112,814  89,6        7 NativeFcnWrapperBase::NativeFcnWrapperBase(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &) (minip.obj)
       0,003   0,0        0,003   0,0        1 _$E24 (minparser.obj)
       0,003   0,0        0,003   0,0        1 _$E24 (minip.obj)
       0,003   0,0        0,003   0,0        1 _$E25 (minparsernodes.obj)
       0,003   0,0        0,003   0,0        1 _$E36 (minparsernodes.obj)
       0,003   0,0        0,003   0,0        8 minParser::GetProgramNode(void) (minpreproc.obj)
       0,003   0,0        0,003   0,0        7 minParser::IsBuildInType(class minToken const &) (minparser.obj)
       0,003   0,0       31,463  25,0        7 minPrivateParser::minPrivateParser(void) (minip.obj)
       0,003   0,0        0,010   0,0       15 std::_Destroy(class minHandle<class minVariableDeclarationNode> *) (minparsernodes.obj)
       0,003   0,0        0,004   0,0        5 std::list<class minHandle<class minCallStackItem>,class std::allocator<class minHandle<class minCallStackItem> > >::end(void) (minpreproc.obj)
       0,003   0,0        0,007   0,0        1 std::list<class minHandle<class minCallStackItem>,class std::allocator<class minHandle<class minCallStackItem> > >::erase(class std::list<class minHandle<class minCallStackItem>,class std::allocator<class minHandle<class minCallStackItem> > >::iterator) (minpreproc.obj)
       0,003   0,0        0,005   0,0        1 std::list<class minHandle<class minClassDeclarationNode>,class std::allocator<class minHandle<class minClassDeclarationNode> > >::~list<class minHandle<class minClassDeclarationNode>,class std::allocator<class minHandle<class minClassDeclarationNode> > >(void) (minpreproc.obj)
       0,003   0,0        0,004   0,0        7 std::list<class minHandle<class minFunctionDeclarationNode>,class std::allocator<class minHandle<class minFunctionDeclarationNode> > >::begin(void) (minpreproc.obj)
       0,003   0,0        0,003   0,0       28 std::list<class minHandle<class minFunctionDeclarationNode>,class std::allocator<class minHandle<class minFunctionDeclarationNode> > >::end(void) (minpreproc.obj)
       0,003   0,0        0,003   0,0       14 std::list<class minHandle<class minFunctionDeclarationNode>,class std::allocator<class minHandle<class minFunctionDeclarationNode> > >::iterator::operator++(void) (minpreproc.obj)
       0,003   0,0        0,005   0,0        2 std::list<class minHandle<class minInterpreterNode>,class std::allocator<class minHandle<class minInterpreterNode> > >::~list<class minHandle<class minInterpreterNode>,class std::allocator<class minHandle<class minInterpreterNode> > >(void) (minparsernodes.obj)
       0,003   0,0        0,004   0,0        8 std::vector<class minClassDeclarationNode const *,class std::allocator<class minClassDeclarationNode const *> >::~vector<class minClassDeclarationNode const *,class std::allocator<class minClassDeclarationNode const *> >(void) (minpreproc.obj)
       0,003   0,0        0,003   0,0       28 std::vector<class minHandle<class minVariableDeclarationNode>,class std::allocator<class minHandle<class minVariableDeclarationNode> > >::end(void) (minparsernodes.obj)
       0,003   0,0        0,031   0,0        7 std::vector<class minHandle<class minVariableDeclarationNode>,class std::allocator<class minHandle<class minVariableDeclarationNode> > >::insert(class minHandle<class minVariableDeclarationNode> *,class minHandle<class minVariableDeclarationNode> const &) (minparser.obj)
       0,002   0,0        0,107   0,1        1 CreateNewOperatorNode(class minToken const &,bool) (minparser.obj)
       0,002   0,0       33,339  26,5        2 NativeFcnWrapper1<double,double>::NativeFcnWrapper1<double,double>(double (*)(double),class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &) (minip.obj)
       0,002   0,0        0,010   0,0        7 NativeFcnWrapperBase::GetReturnType(void) (minip.obj)
       0,002   0,0        0,002   0,0        1 _$E25 (minipenv.obj)
       0,002   0,0        0,422   0,3        1 _$E35 (minparsernodes.obj)
       0,002   0,0        0,002   0,0        1 _$E41 (minparsernodes.obj)
       0,002   0,0        0,420   0,3        1 _ValueDumper<long>::~_ValueDumper<long>(void) (minparsernodes.obj)
       0,002   0,0        0,159   0,1        1 minBlockNode::minBlockNode(class std::list<class minHandle<class minInterpreterNode>,class std::allocator<class minHandle<class minInterpreterNode> > > const &) (minparser.obj)
       0,002   0,0        0,002   0,0        7 minHandle<class minFunctionDeclarationNode>::IsOk(void) (minparsernodes.obj)
       0,002   0,0        0,019   0,0        7 minHandle<class minFunctionDeclarationNode>::`scalar deleting destructor'(unsigned int) (minpreproc.obj)
       0,002   0,0        0,032   0,0       43 minHandle<class minFunctionDeclarationNode>::~minHandle<class minFunctionDeclarationNode>(void) (minpreproc.obj)
       0,002   0,0        0,015   0,0        1 minInterpreterEnvironment::PushCallStackItem(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &) (minipenv.obj)
       0,002   0,0        0,003   0,0        1 minInterpreterEnvironment::RemoveAllClasses(void) (minipenv.obj)
       0,002   0,0        0,007   0,0        1 minInterpreterValue::Init(class minInterpreterType) (minipenv.obj)
       0,002   0,0        2,477   2,0        1 minParser::ParseStatement(class minInterpreterNode * &,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const *) (minparser.obj)
       0,002   0,0       37,574  29,8        7 minPrivateParser::ParseFunction(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &) (minip.obj)
       0,002   0,0        0,024   0,0        8 minVariableDeclarationNode::GetManglingTypeName(void) (minparsernodes.obj)
       0,002   0,0        0,093   0,1        7 std::allocator<class minHandle<class minFunctionDeclarationNode> >::construct(class minHandle<class minFunctionDeclarationNode> *,class minHandle<class minFunctionDeclarationNode> const &) (minpreproc.obj)
       0,002   0,0        0,002   0,0        2 std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::find(char const *,unsigned int) (msvcp50.dll)
       0,002   0,0        0,002   0,0        1 std::list<class minHandle<class minCallStackItem>,class std::allocator<class minHandle<class minCallStackItem> > >::insert(class std::list<class minHandle<class minCallStackItem>,class std::allocator<class minHandle<class minCallStackItem> > >::iterator,class minHandle<class minCallStackItem> const &) (minpreproc.obj)
       0,002   0,0        0,002   0,0        9 std::list<class minHandle<class minCallStackItem>,class std::allocator<class minHandle<class minCallStackItem> > >::iterator::iterator(struct list<class minHandle<class minCallStackItem>,class std::allocator<class minHandle<class minCallStackItem> > >::iterator::_Node *) (minpreproc.obj)
       0,002   0,0        0,002   0,0        4 std::list<class minHandle<class minCallStackItem>,class std::allocator<class minHandle<class minCallStackItem> > >::iterator::operator!=(class std::list<class minHandle<class minCallStackItem>,class std::allocator<class minHandle<class minCallStackItem> > >::iterator const &) (minpreproc.obj)
       0,002   0,0        0,001   0,0        2 std::list<class minHandle<class minCallStackItem>,class std::allocator<class minHandle<class minCallStackItem> > >::iterator::operator*(void) (minpreproc.obj)
       0,002   0,0        0,002   0,0        2 std::list<class minHandle<class minCallStackItem>,class std::allocator<class minHandle<class minCallStackItem> > >::iterator::operator++(int) (minpreproc.obj)
       0,002   0,0        0,002   0,0        1 std::list<class minHandle<class minCallStackItem>,class std::allocator<class minHandle<class minCallStackItem> > >::rbegin(void) (minipenv.obj)
       0,002   0,0        0,010   0,0        1 std::list<class minHandle<class minCallStackItem>,class std::allocator<class minHandle<class minCallStackItem> > >::remove(class minHandle<class minCallStackItem> const &) (minipenv.obj)
       0,002   0,0        0,003   0,0        1 std::list<class minHandle<class minCallStackItem>,class std::allocator<class minHandle<class minCallStackItem> > >::~list<class minHandle<class minCallStackItem>,class std::allocator<class minHandle<class minCallStackItem> > >(void) (minpreproc.obj)
       0,002   0,0        0,003   0,0        1 std::list<class minHandle<class minClassDeclarationNode>,class std::allocator<class minHandle<class minClassDeclarationNode> > >::_Buynode(struct std::list<class minHandle<class minClassDeclarationNode>,class std::allocator<class minHandle<class minClassDeclarationNode> > >::_Node *,struct std::list<class minHandle<class minClassDeclarationNode>,class std::allocator<class minHandle<class minClassDeclarationNode> > >::_Node *) (minpreproc.obj)
       0,002   0,0        0,002   0,0        2 std::list<class minHandle<class minClassDeclarationNode>,class std::allocator<class minHandle<class minClassDeclarationNode> > >::erase(class std::list<class minHandle<class minClassDeclarationNode>,class std::allocator<class minHandle<class minClassDeclarationNode> > >::iterator,class std::list<class minHandle<class minClassDeclarationNode>,class std::allocator<class minHandle<class minClassDeclarationNode> > >::iterator) (minpreproc.obj)
       0,002   0,0        0,004   0,0       14 std::list<class minHandle<class minFunctionDeclarationNode>,class std::allocator<class minHandle<class minFunctionDeclarationNode> > >::iterator::operator++(int) (minpreproc.obj)
       0,002   0,0        0,001   0,0        5 std::list<class minHandle<class minInterpreterNode>,class std::allocator<class minHandle<class minInterpreterNode> > >::begin(void) (minparsernodes.obj)
       0,002   0,0        0,002   0,0       13 std::list<class minHandle<class minInterpreterNode>,class std::allocator<class minHandle<class minInterpreterNode> > >::iterator::iterator(struct list<class minHandle<class minInterpreterNode>,class std::allocator<class minHandle<class minInterpreterNode> > >::iterator::_Node *) (minparsernodes.obj)
       0,002   0,0        0,006   0,0        1 std::list<class minInterpreterVariable,class std::allocator<class minInterpreterVariable> >::_Buynode(struct std::list<class minInterpreterVariable,class std::allocator<class minInterpreterVariable> >::_Node *,struct std::list<class minInterpreterVariable,class std::allocator<class minInterpreterVariable> >::_Node *) (minpreproc.obj)
       0,002   0,0        0,008   0,0        1 std::list<class minInterpreterVariable,class std::allocator<class minInterpreterVariable> >::list<class minInterpreterVariable,class std::allocator<class minInterpreterVariable> >(class list<class minInterpreterVariable,class std::allocator<class minInterpreterVariable> >::allocator<class minInterpreterVariable> const &) (minipenv.obj)
       0,002   0,0        0,004   0,0        1 std::list<class minInterpreterVariable,class std::allocator<class minInterpreterVariable> >::~list<class minInterpreterVariable,class std::allocator<class minInterpreterVariable> >(void) (minipenv.obj)
       0,002   0,0        0,009   0,0        8 std::list<class minVariableSymbolItem,class std::allocator<class minVariableSymbolItem> >::_Freenode(struct std::list<class minVariableSymbolItem,class std::allocator<class minVariableSymbolItem> >::_Node *) (minparser.obj)
       0,002   0,0        0,007   0,0        8 std::list<class minVariableSymbolItem,class std::allocator<class minVariableSymbolItem> >::erase(class std::list<class minVariableSymbolItem,class std::allocator<class minVariableSymbolItem> >::iterator,class std::list<class minVariableSymbolItem,class std::allocator<class minVariableSymbolItem> >::iterator) (minparser.obj)
       0,002   0,0        0,013   0,0       35 std::vector<class minHandle<class minVariableDeclarationNode>,class std::allocator<class minHandle<class minVariableDeclarationNode> > >::_Destroy(class minHandle<class minVariableDeclarationNode> *,class minHandle<class minVariableDeclarationNode> *) (minparsernodes.obj)
       0,002   0,0        0,002   0,0       29 std::vector<class minHandle<class minVariableDeclarationNode>,class std::allocator<class minHandle<class minVariableDeclarationNode> > >::begin(void) (minparsernodes.obj)
       0,002   0,0        0,002   0,0        8 std::vector<struct std::pair<class minInterpreterType,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<struct std::pair<class minInterpreterType,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > >::~vector<struct std::pair<class minInterpreterType,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<s
       0,001   0,0        0,001   0,0        1 CheckLValueNode(int,class minInterpreterEnvironment &) (minparsernodes.obj)
       0,001   0,0        0,019   0,0        3 GetFirstType(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > &,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > &) (minipenv.obj)
       0,001   0,0        0,164   0,1        1 MyNodeCounterDumper::~MyNodeCounterDumper(void) (minparsernodes.obj)
       0,001   0,0       18,810  14,9        1 NativeFcnWrapper1<int,char const *>::NativeFcnWrapper1<int,char const *>(int (*)(char const *),class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &) (minip.obj)
       0,001   0,0        8,361   6,6        1 NativeVoidFcnWrapper1<int &>::NativeVoidFcnWrapper1<int &>(void (*)(int &),class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &) (minip.obj)
       0,001   0,0        0,003   0,0        1 _$E22 (minparser.obj)
       0,001   0,0        0,001   0,0        1 _$E23 (minip.obj)
       0,001   0,0        0,001   0,0        1 _$E23 (minparser.obj)
       0,001   0,0        0,006   0,0        1 _$E27 (minpreproc.obj)
       0,001   0,0        0,003   0,0        1 _$E29 (minip.obj)
       0,001   0,0        0,001   0,0        1 _$E30 (minip.obj)
       0,001   0,0        0,001   0,0        1 _$E30 (minparser.obj)
       0,001   0,0        0,002   0,0        1 _$E30 (minparsernodes.obj)
       0,001   0,0        0,001   0,0        1 _$E31 (minipenv.obj)
       0,001   0,0        0,187   0,1        1 _$E34 (minparsernodes.obj)
       0,001   0,0        0,001   0,0        1 _$E35 (minpreproc.obj)
       0,001   0,0        0,165   0,1        1 _$E40 (minparsernodes.obj)
       0,001   0,0        0,008   0,0        1 minCallStackItem::minCallStackItem(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &) (minipenv.obj)
       0,001   0,0        0,007   0,0        1 minCallStackItem::~minCallStackItem(void) (minipenv.obj)
       0,001   0,0        0,001   0,0       15 minFunctionDeclarationNode::GetArgumentsList(void) (minparsernodes.obj)
       0,001   0,0        0,004   0,0        2 minHandle<class minCallStackItem>::`scalar deleting destructor'(unsigned int) (minpreproc.obj)
       0,001   0,0        0,001   0,0        2 minHandle<class minCallStackItem>::minHandle<class minCallStackItem>(class minHandle<class minCallStackItem> const &) (minpreproc.obj)
       0,001   0,0        0,001   0,0        8 minHandle<class minVariableDeclarationNode>::operator->(void) (minparsernodes.obj)
       0,001   0,0        0,005   0,0        1 minInterpreterEnvironment::GetActCallStackItem(void) (minipenv.obj)
       0,001   0,0        0,123   0,1        7 minInterpreterFunctionDeclarationNode::`scalar deleting destructor'(unsigned int) (minparsernodes.obj)
       0,001   0,0        0,123   0,1        7 minInterpreterFunctionDeclarationNode::`vector deleting destructor'(unsigned int) (minparsernodes.obj)
       0,001   0,0        0,001   0,0        4 minInterpreterType::IsPointer(void) (minpreproc.obj)
       0,001   0,0        0,002   0,0        3 minInterpreterValue::IsPointer(void) (minpreproc.obj)
       0,001   0,0        2,969   2,4        1 minParser::Parse(void) (minparser.obj)
       0,001   0,0        0,001   0,0       22 minToken::IsParenthisClose(void) (mintokenizer.obj)
       0,001   0,0        0,042   0,0       16 minTokenizer::CheckForStringToken(class minToken &) (mintokenizer.obj)
       0,001   0,0        0,002   0,0       16 minTokenizer::InitProcessing(void) (mintokenizer.obj)
       0,001   0,0        0,001   0,0        1 std::_Construct(class minHandle<class minCallStackItem> *,class minHandle<class minCallStackItem> const &) (minpreproc.obj)
       0,001   0,0        0,020   0,0        7 std::_Destroy(class minHandle<class minFunctionDeclarationNode> *) (minpreproc.obj)
       0,001   0,0        0,002   0,0        1 std::allocator<class minHandle<class minClassDeclarationNode> >::_Charalloc(unsigned int) (minpreproc.obj)
       0,001   0,0        0,011   0,0       15 std::allocator<class minHandle<class minVariableDeclarationNode> >::destroy(class minHandle<class minVariableDeclarationNode> *) (minparsernodes.obj)
       0,001   0,0        0,003   0,0        1 std::allocator<class minInterpreterVariable>::_Charalloc(unsigned int) (minpreproc.obj)
       0,001   0,0        0,002   0,0        1 std::allocator<class minInterpreterVariable>::deallocate(void *,unsigned int) (minpreproc.obj)
       0,001   0,0        0,008   0,0        8 std::allocator<class minVariableSymbolItem>::deallocate(void *,unsigned int) (minparser.obj)
       0,001   0,0        0,001   0,0       10 std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::length(void) (msvcp50.dll)
       0,001   0,0        0,001   0,0        7 std::copy(class minHandle<class minVariableDeclarationNode> *,class minHandle<class minVariableDeclarationNode> *,class minHandle<class minVariableDeclarationNode> *) (minparsernodes.obj)
       0,001   0,0        0,001   0,0        1 std::copy(class minHandle<class minVariableDeclarationNode> const *,class minHandle<class minVariableDeclarationNode> const *,class minHandle<class minVariableDeclarationNode> *) (minip.obj)
       0,001   0,0        0,001   0,0        5 std::ios_base::Init::~Init(void) (msvcp50.dll)
       0,001   0,0        0,278   0,2        1 std::list<class minHandle<class minCallStackItem>,class std::allocator<class minHandle<class minCallStackItem> > >::list<class minHandle<class minCallStackItem>,class std::allocator<class minHandle<class minCallStackItem> > >(class list<class minHandle<class minCallStackItem>,class std::allocator<class minHandle<class minCallStackItem> > >::allocator<class minHandle<class minCallStackItem> > const &) (minipenv.obj)
       0,001   0,0        0,001   0,0        1 std::list<class minHandle<class minCallStackItem>,class std::allocator<class minHandle<class minCallStackItem> > >::size(void) (minpreproc.obj)
       0,001   0,0        0,001   0,0        2 std::list<class minHandle<class minClassDeclarationNode>,class std::allocator<class minHandle<class minClassDeclarationNode> > >::begin(void) (minpreproc.obj)
       0,001   0,0        0,001   0,0        2 std::list<class minHandle<class minClassDeclarationNode>,class std::allocator<class minHandle<class minClassDeclarationNode> > >::end(void) (minpreproc.obj)
       0,001   0,0        0,004   0,0        1 std::list<class minHandle<class minClassDeclarationNode>,class std::allocator<class minHandle<class minClassDeclarationNode> > >::list<class minHandle<class minClassDeclarationNode>,class std::allocator<class minHandle<class minClassDeclarationNode> > >(class list<class minHandle<class minClassDeclarationNode>,class std::allocator<class minHandle<class minClassDeclarationNode> > >::allocator<class minHandle<class minClassDeclarationNode> > const &) (minipenv.o
       0,001   0,0        0,000   0,0        3 std::list<class minHandle<class minFunctionDeclarationNode>,class std::allocator<class minHandle<class minFunctionDeclarationNode> > >::begin(void) (minpreproc.obj)
       0,001   0,0        0,001   0,0       35 std::list<class minHandle<class minFunctionDeclarationNode>,class std::allocator<class minHandle<class minFunctionDeclarationNode> > >::const_iterator::const_iterator(struct list<class minHandle<class minFunctionDeclarationNode>,class std::allocator<class minHandle<class minFunctionDeclarationNode> > >::const_iterator::_Node *) (minpreproc.obj)
       0,001   0,0        0,001   0,0       14 std::list<class minHandle<class minFunctionDeclarationNode>,class std::allocator<class minHandle<class minFunctionDeclarationNode> > >::iterator::_Mynode(void) (minpreproc.obj)
       0,001   0,0        0,001   0,0       10 std::list<class minHandle<class minFunctionDeclarationNode>,class std::allocator<class minHandle<class minFunctionDeclarationNode> > >::iterator::operator==(class std::list<class minHandle<class minFunctionDeclarationNode>,class std::allocator<class minHandle<class minFunctionDeclarationNode> > >::iterator const &) (minpreproc.obj)
       0,001   0,0        0,004   0,0        2 std::list<class minHandle<class minInterpreterNode>,class std::allocator<class minHandle<class minInterpreterNode> > >::_Buynode(struct std::list<class minHandle<class minInterpreterNode>,class std::allocator<class minHandle<class minInterpreterNode> > >::_Node *,struct std::list<class minHandle<class minInterpreterNode>,class std::allocator<class minHandle<class minInterpreterNode> > >::_Node *) (minparsernodes.obj)
       0,001   0,0        0,003   0,0        4 std::list<class minHandle<class minInterpreterNode>,class std::allocator<class minHandle<class minInterpreterNode> > >::const_iterator::const_iterator(struct list<class minHandle<class minInterpreterNode>,class std::allocator<class minHandle<class minInterpreterNode> > >::const_iterator::_Node *) (minparsernodes.obj)
       0,001   0,0        0,000   0,0        2 std::list<class minHandle<class minInterpreterNode>,class std::allocator<class minHandle<class minInterpreterNode> > >::const_iterator::operator!=(class std::list<class minHandle<class minInterpreterNode>,class std::allocator<class minHandle<class minInterpreterNode> > >::const_iterator const &) (minparsernodes.obj)
       0,001   0,0        0,000   0,0        4 std::list<class minHandle<class minInterpreterNode>,class std::allocator<class minHandle<class minInterpreterNode> > >::iterator::operator!=(class std::list<class minHandle<class minInterpreterNode>,class std::allocator<class minHandle<class minInterpreterNode> > >::iterator const &) (minparsernodes.obj)
       0,001   0,0        0,003   0,0        1 std::list<class minHandle<class minInterpreterNode>,class std::allocator<class minHandle<class minInterpreterNode> > >::list<class minHandle<class minInterpreterNode>,class std::allocator<class minHandle<class minInterpreterNode> > >(class list<class minHandle<class minInterpreterNode>,class std::allocator<class minHandle<class minInterpreterNode> > >::allocator<class minHandle<class minInterpreterNode> > const &) (minparsernodes.obj)
       0,001   0,0        0,001   0,0        2 std::list<class minInterpreterVariable,class std::allocator<class minInterpreterVariable> >::_Acc::_Next(struct std::list<class minInterpreterVariable,class std::allocator<class minInterpreterVariable> >::_Node *) (minpreproc.obj)
       0,001   0,0        0,001   0,0        1 std::list<class minInterpreterVariable,class std::allocator<class minInterpreterVariable> >::_Acc::_Prev(struct std::list<class minInterpreterVariable,class std::allocator<class minInterpreterVariable> >::_Node *) (minpreproc.obj)
       0,001   0,0        0,001   0,0        1 std::list<class minInterpreterVariable,class std::allocator<class minInterpreterVariable> >::end(void) (minpreproc.obj)
       0,001   0,0        0,001   0,0        8 std::list<class minVariableSymbolItem,class std::allocator<class minVariableSymbolItem> >::iterator::operator==(class std::list<class minVariableSymbolItem,class std::allocator<class minVariableSymbolItem> >::iterator const &) (minparser.obj)
